member,age,gender,race,date
UTKFace/100_0_0_20170112213500903.jpg.chip.jpg,100,0,0,2017-01-12 21:35:00.903000
UTKFace/100_0_0_20170112215240346.jpg.chip.jpg,100,0,0,2017-01-12 21:52:40.346000
UTKFace/100_1_0_20170110183726390.jpg.chip.jpg,100,1,0,2017-01-10 18:37:26.390000
UTKFace/100_1_0_20170112213001988.jpg.chip.jpg,100,1,0,2017-01-12 21:30:01.988000
UTKFace/100_1_0_20170112213303693.jpg.chip.jpg,100,1,0,2017-01-12 21:33:03.693000
UTKFace/100_1_0_20170112215032192.jpg.chip.jpg,100,1,0,2017-01-12 21:50:32.192000
UTKFace/100_1_0_20170117195420803.jpg.chip.jpg,100,1,0,2017-01-17 19:54:20.803000
UTKFace/100_1_0_20170119212053665.jpg.chip.jpg,100,1,0,2017-01-19 21:20:53.665000
UTKFace/100_1_2_20170105174847679.jpg.chip.jpg,100,1,2,2017-01-05 17:48:47.679000
UTKFace/100_1_2_20170112213615815.jpg.chip.jpg,100,1,2,2017-01-12 21:36:15.815000
UTKFace/100_1_2_20170112222336458.jpg.chip.jpg,100,1,2,2017-01-12 22:23:36.458000
UTKFace/101_0_0_20170112213500903.jpg.chip.jpg,101,0,0,2017-01-12 21:35:00.903000
UTKFace/101_1_2_20170105174739309.jpg.chip.jpg,101,1,2,2017-01-05 17:47:39.309000
UTKFace/105_0_0_20170112213001988.jpg.chip.jpg,105,0,0,2017-01-12 21:30:01.988000
UTKFace/105_1_0_20170112213001988.jpg.chip.jpg,105,1,0,2017-01-12 21:30:01.988000
UTKFace/105_1_0_20170112213021902.jpg.chip.jpg,105,1,0,2017-01-12 21:30:21.902000
UTKFace/105_1_0_20170112213507183.jpg.chip.jpg,105,1,0,2017-01-12 21:35:07.183000
UTKFace/105_1_1_20170112213303693.jpg.chip.jpg,105,1,1,2017-01-12 21:33:03.693000
UTKFace/10_0_0_20161220222308131.jpg.chip.jpg,10,0,0,2016-12-20 22:23:08.131000
UTKFace/10_0_0_20170103200329407.jpg.chip.jpg,10,0,0,2017-01-03 20:03:29.407000
UTKFace/10_0_0_20170103200522151.jpg.chip.jpg,10,0,0,2017-01-03 20:05:22.151000
UTKFace/10_0_0_20170103233459275.jpg.chip.jpg,10,0,0,2017-01-03 23:34:59.275000
UTKFace/10_0_0_20170104013211746.jpg.chip.jpg,10,0,0,2017-01-04 01:32:11.746000
UTKFace/10_0_0_20170110215927291.jpg.chip.jpg,10,0,0,2017-01-10 21:59:27.291000
UTKFace/10_0_0_20170110220033115.jpg.chip.jpg,10,0,0,2017-01-10 22:00:33.115000
UTKFace/10_0_0_20170110220111082.jpg.chip.jpg,10,0,0,2017-01-10 22:01:11.082000
UTKFace/10_0_0_20170110220235233.jpg.chip.jpg,10,0,0,2017-01-10 22:02:35.233000
UTKFace/10_0_0_20170110220251986.jpg.chip.jpg,10,0,0,2017-01-10 22:02:51.986000
UTKFace/10_0_0_20170110220255346.jpg.chip.jpg,10,0,0,2017-01-10 22:02:55.346000
UTKFace/10_0_0_20170110220316298.jpg.chip.jpg,10,0,0,2017-01-10 22:03:16.298000
UTKFace/10_0_0_20170110220403810.jpg.chip.jpg,10,0,0,2017-01-10 22:04:03.810000
UTKFace/10_0_0_20170110220447314.jpg.chip.jpg,10,0,0,2017-01-10 22:04:47.314000
